RAZAO,CNPJ,NOME_FANTASIA,DATA_ABERTURA,CNAE,DESCRICAO_CNAE,NATUREZA_JURIDICA,DESCRICAO_NATUREZA_JURIDICA,TIPO,TITULO,LOGRADOURO,NUMERO,COMPLEMENTO,ENDERECO,BAIRRO,CIDADE,UF,CEP,DDD1,FONE1,DDD2,FONE2,SITUACAO_CADASTRAL,MATRIZ,PORTE,FATURAMENTO_PRESUMIDO_ANUAL,QTD_PROPRIETARIO,QTD_FUNCIONARIOS
GLOBALFRUIT INDUSTRIA E COMERCIO LTDA, 04.963.806/0001-36,GLOBALFRUIT,22/03/2002,1033301,Fabricação de sucos concentrados de frutas| hortaliças e legumes,2062,Sociedade Empresária Limitada ,RODOVIA,,MG 22 - FAZENDA SANTO ANTONIO,,KM 105,ROD MG 22 - FAZENDA SANTO ANTONIO SN KM 105,BARRA DOS COUTOS,VISCONDE DO RIO BRANCO,MG,36520000,32,34060468,32,34060495,ATIVA,1,GRANDE,56700000,2,294
YOHANA TEXTIL LTDA, 08.016.098/0001-87,,06/03/2006,1412601,Confecção de peças do vestuário| exceto roupas íntimas e as confeccionadas sob medida,2062,Sociedade Empresária Limitada ,RUA,,PLINIO SALGADO,100,,PLINIO SALGADO,DISTRITO INDUSTRIAL II,SANTA BARBARA D OESTE,SP,13457192,19,34587487,19,34546560,ATIVA,1,MÉDIA,2600000,2,71
CONDOMINIO DO SHOPPING DO VALE, 00.995.983/0001-43,,10/01/1996,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,GENERAL,FLORES DA CUNHA,4001,,AV GEN FLORES DA CUNHA 4001,VILA BOM PRINCIPIO,CACHOEIRINHA,RS,94950001,51,30416091,51,34691618,ATIVA,1,MÉDIA,2150000,,69
VOPAK BRASIL S.A., 44.167.450/0001-49,,14/11/1974,5211701,Armazéns gerais - emissão de warrant,2054,Sociedade Anônima Fechada ,AVENIDA,VEREADOR,ALFREDO DAS NEVES,1055,X CX,AV VER ALFREDO DAS NEVES 1055 X CX,ALEMOA,SANTOS,SP,11095510,71,981471187,71,999679484,ATIVA,1,GRANDE,172000000,6,223
METROPOLITAN EMPREENDIMENTOS S/A, 02.662.897/0001-44,,03/08/1998,9001999,Artes cênicas| espetáculos e atividades complementares não especificados anteriormente,2054,Sociedade Anônima Fechada ,AVENIDA,,AYRTON SENNA,3000,UNIDADE 1005 PARTE,AYRTON SENNA,BARRA DA TIJUCA,RIO DE JANEIRO,RJ,22775002,11,56413987,21,993724668,ATIVA,1,MÉDIA,12125000,4,73
BR MATOZINHOS FUNDICOES LTDA. EM RECUPERACAO JUDICIAL , 19.811.058/0002-24,,28/06/1971,2451200,Fundição de ferro e aço,2062,Sociedade Empresária Limitada ,AVENIDA,,ANDRE FAVALLELI,976,,AV ANDRE FAVALLELI 976,ESTACAO,MATOZINHOS,MG,35720000,31,998856974,24,24472385,ATIVA,0,GRANDE,340000000,3,1333
REFISA INDUSTRIA E COMERCIO LTDA, 04.786.838/0001-03,,22/11/2001,892403,Refino e outros tratamentos do sal,2062,Sociedade Empresária Limitada ,RODOVIA,,BR 101,,KM 282 4 1,ROD BR 101 KM 282 4 1,,IMBITUBA,SC,88780000,48,996811578,48,996626723,ATIVA,1,GRANDE,72000000,2,402
GELNEX INDUSTRIA E COMERCIO LTDA, 02.001.597/0001-14,,09/07/1997,1099602,Fabricação de pós-alimentícios,2062,Sociedade Empresária Limitada ,RODOVIA,,SC 283 SN,,KM 25,ROD SC 283 SN KM 25,LINHA RIO ENGANO,ITA,SC,89760000,49,34583543,48,33333222,ATIVA,1,GRANDE,12125000,7,457
ALBERT SABIN HOSPITAL E MATERNIDADE LTDA, 04.275.687/0001-29,ALBERT SABIN HOSPITAL E MATERNIDADE,05/02/2001,8610101,Atividades de atendimento hospitalar| exceto pronto-socorro e unidades para atendimento a urgências,2062,Sociedade Empresária Limitada ,RUA,,DA BAHIA,342,,R DA BAHIA 342,RECREIO ESTORIL,ATIBAIA,SP,12944060,11,934442921,11,941345608,ATIVA,1,GRANDE,72000000,37,746
CASAS BANDEIRANTES LTDA, 08.747.503/0005-60,,06/08/2004,2319200,Fabricação de artigos de vidro,2062,Sociedade Empresária Limitada ,RODOVIA,CORONEL,CORNELIO SOARES,,GALPAO 01,ROD BR 232 KM 416 SN GALPAO 01,NOSSA SENHORA DA PENHA,SERRA TALHADA,PE,56903970,87,38311520,87,38312799,ATIVA,0,GRANDE,56700000,2,237
LATICINIOS PORTO ALEGRE INDUSTRIA E COMERCIO S/A, 66.301.334/0001-03,,19/07/1991,1052000,Fabricação de laticínios,2054,Sociedade Anônima Fechada ,AVENIDA,,MARIO MARTINS DE FREITAS,6000,6000,AV MARIO MARTINS DE FREITAS 6000 6000,ANA FLORENCIA,PONTE NOVA,MG,35432077,31,998850971,31,998551730,ATIVA,1,GRANDE,640000000,3,2347
UNIPLEX VIDROS TEMPERADOS LTDA, 03.842.638/0001-68,,30/05/2000,2311700,Fabricação de vidro plano e de segurança,2062,Sociedade Empresária Limitada ,RUA,,DO PARQUE,413,,R DO PARQUE 413,SAO GERALDO,PORTO ALEGRE,RS,90230200,51,33514603,51,33147711,ATIVA,1,MÉDIA,1100000,3,26
COLINA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS EIRELI, 07.436.513/0001-99,COLINA DISTRIBUIDORA,11/06/2005,4639701,Comércio atacadista de produtos alimentícios em geral,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RODOVIA,,AUGUSTO MONTENEGRO,,KM 09,RODOVIA AUGUSTO MONTENEGRO SN KM 09,TENONE,BELEM,PA,66820000,91,33481889,91,37249852,ATIVA,1,GRANDE,550000000,1,1154
PRIETO ALIMENTOS S.A., 61.752.739/0001-44,,05/12/1972,1013901,Fabricação de produtos de carne,2054,Sociedade Anônima Fechada ,AVENIDA,,VER JOAQUIM P BARBOSA,777,,VER JOAQUIM P BARBOSA,JORDANESIA,CAJAMAR,SP,7750000,16,997669806,11,950578821,ATIVA,1,GRANDE,120000000,3,881
COPOBRAS S/A. INDUSTRIA E COMERCIO DE EMBALAGENS, 86.445.822/0001-00,INCOPLAST-SC,06/05/1970,2222600,Fabricação de embalagens de material plástico,2054,Sociedade Anônima Fechada ,RUA,,PADRE AULING,595,,PADRE AULING,INDUSTRIAL,SAO LUDGERO,SC,88730000,48,991385990,48,991413993,ATIVA,1,GRANDE,750000000,4,1660
RIO DE JANEIRO REFRESCOS LTDA, 00.074.569/0050-80,,30/10/2013,1122403,Fabricação de refrescos| xaropes e pós para refrescos| exceto refrescos de frutas,2062,Sociedade Empresária Limitada ,AVENIDA,DOM,PEDRO I,2270,,AV D PEDRO I 2270,IPIRANGA,RIBEIRAO PRETO,SP,14055630,21,997456394,21,998617307,ATIVA,0,MÉDIA,1500000000,9,1975
ALVORADA COMERCIO ATACADISTA PRODUTOS PLASTICOS EIRELI, 32.786.210/0001-43,,15/02/2019,3832700,Recuperação de materiais plásticos,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RUA,,VENEZA,226,,RUA VENEZA 290,JARDIM CAMPESTRE,GUARULHOS,SP,7175110,11,20224884,,,ATIVA,1,PEQUENA,1650000,2,21
VINILPLAST INDUSTRIA DE PVC LTDA  , 11.099.088/0001-67,VINILPLAST ,31/08/2009,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,ODILON GOMES ASSUMPCAO,LOTE,LT 14 E 16 CENTRO EMPRESARIAL,AV ODILON GOMES ASSUMPCAO SN LT 14 E 16 CENTRO EMPRESARIAL,CANTAGALO,TRES RIOS,RJ,25803065,24,22557341,24,22557351,ATIVA,1,MÉDIA,4250000,3,103
MONTENEGRO - INDUSTRIA| COMERCIO E TRANSPORTES DE MADEIRAS LTDA, 82.207.192/0001-76,,28/11/1990,4930202,Transporte rodoviário de carga| exceto produtos perigosos e mudanças| intermunicipal| interestadual ,2062,Sociedade Empresária Limitada ,RODOVIA,,PONTA GROSSA GUARAGI,,KM 28 SN FAZENDA BOCAET,ROD PONTA GROSSA GUARAGI KM 28 SN FAZENDA BOCAET,GUARAGI,GUARAGI,PR,84120000,42,30282274,42,32234700,ATIVA,1,GRANDE,30000000,3,324
VOITH PAPER MAQUINAS E EQUIPAMENTOS LTDA, 61.243.119/0001-80,,22/07/1966,2865800,Fabricação de máquinas e equipamentos para as indústrias de celulose| papel e papelão e artefatos| p,2062,Sociedade Empresária Limitada ,RUA,,FRIEDRICH VON VOITH,825,BL D,R FRIEDRICH VON VOITH BL D,JARDIM SAO JOAO (JARAGUA),SAO PAULO,SP,2995000,11,930925758,11,943806788,ATIVA,1,GRANDE,550000000,7,1306
MARIMED SERVICOS MEDICOS S/A, 77.265.361/0001-94,HOSPITAL PARANA,01/09/1976,8610101,Atividades de atendimento hospitalar| exceto pronto-socorro e unidades para atendimento a urgências,2054,Sociedade Anônima Fechada ,AVENIDA,DOUTOR,LUIZ TEIXEIRA MENDES,1929,ZONA 5,AV DR LUIZ TEIXEIRA MENDES 1929 ZONA 5,ZONA 04,MARINGA,PR,87015000,44,32184040,44,32184000,ATIVA,1,GRANDE,90000000,3,1391
BAKELS BRASIL INGREDIENTES PARA PANIFICACAO LTDA., 61.066.809/0001-00,BAKELS BRASIL,11/07/1966,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,FRANCISCO FOGA,1005,,R FRANCISCO FOGA 1005,DT IND BENED,VINHEDO,SP,13280000,19,998806685,19,971520523,ATIVA,1,MÉDIA,12125000,7,155
MERCURIO ALIMENTOS S/A, 11.831.785/0001-60,,23/03/2010,1011201,Frigorífico - abate de bovinos,2054,Sociedade Anônima Fechada ,RUA,,LEOPOLDO TEIXEIRA,51,S NORTE FRIGORIFICO,R LEOPOLDO TEIXEIRA 51 S NORTE FRIGORIFICO,CENTRO,ANANINDEUA,PA,67030025,91,992338233,91,993631703,ATIVA,1,GRANDE,1500000000,3,521
KROMOS PRODUCOES GRAFICAS LTDA, 66.979.659/0001-40,KROMOS PRODUCOES GRAFICAS,08/10/1991,1813099,Impressão de material para outros usos,2062,Sociedade Empresária Limitada ,RUA,,DO CRUZEIRO,653,,R DO CRUZEIRO 653,CHAPEU DO SOL,MONTE MOR,SP,13190000,19,38799500,19,32177130,ATIVA,1,MÉDIA,30000000,4,136
MERCOFRICON S/A, 02.802.419/0001-92,FRICON,15/09/1998,2823200,Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial| peç,2054,Sociedade Anônima Fechada ,RODOVIA,,BR-101 NORTE,,KM 51 7 NORTE 101 NORTE,ROD BR CENTO E UM NORTE KM 51 7 NORTE 101 NORTE,PARATIBE,PAULISTA,PE,53413000,81,32214562,81,992042021,ATIVA,1,GRANDE,236000000,7,1967
P A ALIMENTOS LTDA, 03.095.111/0001-17,PANIFICADORA E CONFEITARIA PAO & ARTE,07/04/1999,1091101,Fabricação de produtos de panificação industrial,2062,Sociedade Empresária Limitada ,RUA,,P,,QDA IND 2 4 LT 20 AO 24,RUA P SN QDA IND 2 4 LT 20 AO 24,DISTRITO INDUSTRIAL,CUIABA,MT,78098420,65,36240811,65,36120597,ATIVA,1,GRANDE,56700000,2,1162
GOBBA LEATHER INDUSTRIA E COMERCIO LTDA, 07.956.759/0005-15,GOBBA LEATHER INDUSTRIA E COMERCIO LTDA,19/02/2013,1510600,Curtimento e outras preparações de couro,2062,Sociedade Empresária Limitada ,RUA,,REDENCIO FRIZZO,1173,,R REDENCIO FRIZZO 1173,CENTRO,NOVA ESPERANCA DO SUL,RS,97770000,55,984396119,55,984396125,ATIVA,1,GRANDE,172000000,3,1020
BRASPOR GRAFICA E EDITORA LTDA., 07.263.666/0001-81,,08/03/2005,1811302,Impressão de livros| revistas e outras publicações periódicas,2062,Sociedade Empresária Limitada ,RUA,ALMIRANTE,TAMANDARE,55,55,R ALM TAMANDARE 55 55,VILA MENCK,OSASCO,SP,6273090,11,985744726,11,976968838,ATIVA,1,GRANDE,120000000,4,899
MAXCOR INDUSTRIA DE ETIQUETAS LTDA, 26.389.171/0001-48,,08/02/1990,1821100,Serviços de pré-impressão,2062,Sociedade Empresária Limitada ,RUA,VEREADOR,JURANDINO ANDRADE,65,,R VER JURANDINO ANDRADE 65,DISTRITO INDUSTRIAL JARDIM PIEMONT NORTE,BETIM,MG,32689342,31,999220799,31,32922008,ATIVA,1,GRANDE,56700000,2,391
ARA TEXTIL LTDA, 40.838.658/0001-91,NACIONAL TEXTIL,19/09/1991,1330800,Fabricação de tecidos de malha,2062,Sociedade Empresária Limitada ,RODOVIA,,BR-101 NORTE,,KM 52 35 KM 52 NORTE 101,ROD BR CENTO E UM NORTE KM 52 35 KM 52 NORTE 101,DISTRITO INDUSTRIAL,ABREU E LIMA,PE,53520015,81,982342692,81,982424051,ATIVA,1,GRANDE,56700000,5,307
CRUSOE FOODS INDUSTRIA| IMPORTACAO E EXPORTACAO LTDA, 11.814.967/0001-23,,26/03/2010,1020102,Fabricação de conservas de peixes| crustáceos e moluscos,2062,Sociedade Empresária Limitada ,AVENIDA,SENADOR,VIRGILIO TAVORA,1500,SALA 1006,SENADOR VIRGILIO TAVORA,ALDEOTA,FORTALEZA,CE,60170078,85,982131265,61,998594085,ATIVA,1,GRANDE,120000000,4,10
SUPERMERCADO ALEAN LTDA, 72.671.985/0001-98,,06/07/1993,4711302,Comércio varejista de mercadorias em geral| com predominância de produtos alimentícios - supermercad,2062,Sociedade Empresária Limitada ,RUA,CORONEL,JOSE DE CASTRO,171,,R CEL JOSE DE CASTRO 171,CENTRO,CRUZEIRO,SP,12701450,12,997777902,12,997181622,ATIVA,1,GRANDE,120000000,3,561
FULL GAUGE-ELETRO-CONTROLES LTDA., 90.446.048/0001-10,FULL GAUGE CONTROLS,26/09/1985,2790299,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,JULIO DE CASTILHOS,250,CANOA 250,R JULIO DE CASTILHOS 250 CANOA 250,NITEROI,CANOAS,RS,92120030,51,37783400,51,30771530,ATIVA,1,GRANDE,56700000,2,666
ALSCO TOALHEIRO BRASIL LTDA., 33.325.184/0020-81,,09/09/1980,9601703,Toalheiros,2062,Sociedade Empresária Limitada ,RUA,,JUSCELINO KUBITSCHEK DE OLIVEIRA,570,570,R JUSCELINO KUBITSCHEK DE OLIVEIRA 570 570,INDUSTRIAL,CANOAS,RS,92420540,51,998979843,51,995752114,ATIVA,0,GRANDE,236000000,4,671
ADICAO DISTRIBUICAO EXPRESS LTDA, 04.149.637/0001-03,,16/11/2000,4639701,Comércio atacadista de produtos alimentícios em geral,2062,Sociedade Empresária Limitada ,RODOVIA,,BR-040 KM,,KM 688 KM KM 688 D 3 4 5 6 PAV,ROD BR 40 KM 688 KM KM 688 D 3 4 5 6 PAV,KENNEDY,CONTAGEM,MG,32145900,31,999954453,31,997534199,ATIVA,1,GRANDE,1500000000,4,685
LAMBERTI BRASIL PRODUTOS QUIMICOS LTDA, 48.795.926/0001-47,,16/08/1977,2099199,Fabricação de outros produtos químicos não especificados anteriormente,2062,Sociedade Empresária Limitada ,ESTRADA,,DE VASCONCELOS,490,,ESTRADA DE VASCONCELOS 490,CHACARAS REUNIDAS ANHANGUERA,NOVA ODESSA,SP,13388680,19,32036558,19,989701108,ATIVA,1,GRANDE,120000000,4,160
EDIFICIO NEO SUPERQUADRA, 16.667.831/0001-51,,05/08/2009,8112500,Condomínios prediais,3085,Condomínio Edilício ,RUA,,DA GLORIA,251,CS 1,R DA GLORIA CS 1,CENTRO CIVICO,CURITIBA,PR,80030060,41,21038696,41,34342879,ATIVA,1,PEQUENA,1900000,,
STYLO - INDUSTRIA E COMERCIO DE VIDROS LTDA, 16.925.894/0001-60,STYLO FERRAGENS,06/09/2012,2319200,Fabricação de artigos de vidro,2062,Sociedade Empresária Limitada ,RUA,,MARTINS DEDA,141,FDS,R MARTINS DEDA 141 FDS,CHAPADA,ARAUCARIA,PR,83707742,41,32114486,,,ATIVA,1,PEQUENA,12125000,2,75
ABRIL COMUNICACOES S.A. EM RECUPERACAO JUDICIAL, 44.597.052/0079-22,,27/06/2012,1811302,Impressão de livros| revistas e outras publicações periódicas,2054,Sociedade Anônima Fechada ,AVENIDA,,OTAVIANO ALVES DE LIMA,4400,440,AV OTAVIANO ALVES DE LIMA 4400 440,VILA ARCADIA,SAO PAULO,SP,2909900,11,39902333,11,39902359,ATIVA,0,GRANDE,1500000000,4,1693
REDE KRILL SUPERMERCADOS LTDA , 21.010.503/0001-18,,10/09/2014,4711302,Comércio varejista de mercadorias em geral| com predominância de produtos alimentícios - supermercad,2062,Sociedade Empresária Limitada ,AVENIDA,,AYRTON SENNA DA SILVA,333,,AVENIDA AYRTON SENNA DA SILVA 333,XIXOVA,PRAIA GRANDE,SP,11726500,13,997193918,13,997287383,ATIVA,1,MÉDIA,120000000,17,71
HYDRA CORONA SISTEMAS DE AQUECIMENTO DE AGUA LTDA, 62.032.180/0001-40,,09/04/1968,2759799,Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente| peças e acessórios,2062,Sociedade Empresária Limitada ,AVENIDA,GOVERNADOR,PAULO BARRETO DE MENEZES,527,,AVENIDA GOVERNADOR PAULO BARRETO DE MENEZES 527,JARDINS,ARACAJU,SE,49025040,79,21076987,79,21076959,ATIVA,1,GRANDE,172000000,14,2655
NUTRIMENTAL SA INDUSTRIA E COMERCIO DE ALIMENTOS, 76.633.890/0001-30,,12/08/1968,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,2054,Sociedade Anônima Fechada ,AVENIDA,,RUI BARBOSA,8153,,AV RUI BARBOSA 8153,IPE,SAO JOSE DOS PINHAIS,PR,83055320,21,971617346,21,998019856,ATIVA,1,GRANDE,236000000,5,364
TELASUL INDUSTRIA DE MOVEIS S.A., 87.846.796/0001-86,,21/08/1972,3102100,Fabricação de móveis com predominância de metal,2054,Sociedade Anônima Fechada ,RODOVIA,,ENTRONC DAS RODOVIAS RSC 470,,KM222 300 E 453 KM101 100 S N,ROD ENTRONC DAS RODOVIAS RSC 470 KM222 300 E 453 KM101 100 S N,INTEGRACAO,GARIBALDI,RS,95720000,54,34639444,54,34639443,ATIVA,1,GRANDE,72000000,7,1142
COUROS NOBRE BENEFICIAMENTO LTDA, 91.198.630/0001-78,COUROS NOBRE,04/09/1986,1510600,Curtimento e outras preparações de couro,2062,Sociedade Empresária Limitada ,ESTRADA,,LEOPOLDO PETRY,500,,EST LEOPOLDO PETRY 500,SANTO AFONSO,NOVO HAMBURGO,RS,93425320,51,997618204,51,999162581,ATIVA,1,MÉDIA,17230000,2,431
AGUAS PRATA LTDA, 60.344.173/0001-59,,18/04/1989,8211300,Serviços combinados de escritório e apoio administrativo,2062,Sociedade Empresária Limitada ,RUA,,ANA NERI,220,,R ANA NERI 220,CAMBUI,CAMPINAS,SP,13024500,19,37561975,11,956082518,ATIVA,1,MÉDIA,41500000,5,82
FUNDACAO EDUCACIONAL ROSEMAR PIMENTEL, 28.577.153/0001-15,FERP,29/01/1969,8531700,Educação superior - graduação,3069,Fundação Privada,RUA,DEPUTADO,GERALDO DI BIASE,81,,RUA DEPUTADO GERALDO DI BIASE 81,ATERRADO,VOLTA REDONDA,RJ,27213080,24,998701827,24,998329912,ATIVA,1,GRANDE,41500000,1,857
COFRATEC INDUSTRIA TEXTIL LTDA. , 19.541.444/0001-62,COFRATEC ADMINISTRACAO E PARTICIPACOES LTDA. ,17/01/2014,1330800,Fabricação de tecidos de malha,2062,Sociedade Empresária Limitada ,RODOVIA,,EDGAR MAXIMO ZAMBOTO,KM 44,KM 44 GALPAO 1 A 5,ROD EDGAR MAXIMO ZAMBOTO KM 44 GALPAO 1 A 5,GLEBAS,FRANCO DA ROCHA,SP,7834000,11,21877405,11,21877400,ATIVA,1,MÉDIA,41500000,2,184
REDECINE BRA CINEMATOGRAFICA S.A, 15.422.993/0001-67,CINESYSTEM CINEMAS,12/04/2012,5914600,Atividades de exibição cinematográfica,2054,Sociedade Anônima Fechada ,AVENIDA,,AMERICO DEOLINDO GARLA,224,LT NORTE LJ LUC C,AV AMERICO DEOLINDO GARLA 224 LT NORTE LJ LUC C,PACAEMBU,LONDRINA,PR,86079225,43,33567843,44,32202112,ATIVA,1,MÉDIA,41500000,5,90
CLINICA SANTA HELENA LTDA, 33.917.568/0001-20,SISTEMA DE SAUDE SANTA HELENA,11/08/1989,8610101,Atividades de atendimento hospitalar| exceto pronto-socorro e unidades para atendimento a urgências,2062,Sociedade Empresária Limitada ,RUA,,TREZE DE MAIO,252,,R TREZE DE MAIO 252,CENTRO,CANDEIAS,BA,43805000,71,982561829,71,999038387,ATIVA,1,GRANDE,72000000,2,1183
MAZZA INDUSTRIA DE PLASTICOS LTDA, 88.588.033/0001-45,,15/01/1976,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,DAS FRUTEIRAS,31661,,R DAS FRUTEIRAS 453 31661,SANTA FE,CAXIAS DO SUL,RS,95045150,54,999410691,54,991859526,ATIVA,1,MÉDIA,2150000,3,117
FRISA FRIGORIFICO RIO DOCE S A, 27.497.684/0001-35,FRISA,11/11/1968,1011201,Frigorífico - abate de bovinos,2054,Sociedade Anônima Fechada ,RUA,,DOMINGOS MARGOTTO,4000,,R DOMINGOS MARGOTTO 4000,SAO MIGUEL,COLATINA,ES,29704700,27,996129510,27,999964228,ATIVA,1,GRANDE,1500000000,5,3270
RONA EDITORA LTDA, 19.270.206/0001-60,,09/12/1976,1811302,Impressão de livros| revistas e outras publicações periódicas,2062,Sociedade Empresária Limitada ,RUA,,GABRIELA DE MELO,280,,R GABRIELA DE MELO 280,OLHOS D'AGUA,BELO HORIZONTE,MG,30390080,31,993240198,31,993240178,ATIVA,1,GRANDE,30000000,2,349
MEBUKI INDUSTRIA COMERCIO E EXPORTACAO LTDA, 46.884.672/0001-08,MEBUKI,28/08/1981,2229301,Fabricação de artefatos de material plástico para uso pessoal e doméstico,2062,Sociedade Empresária Limitada ,RUA,,ENDRES,1295,,R ENDRES 1295,VILA DAS BANDEIRAS,GUARULHOS,SP,7043000,11,24215755,81,982028705,ATIVA,1,PEQUENA,3000000,3,228
TINTURARIA WILLRICH LTDA, 20.665.566/0001-40,TINTURARIA WILLRICH,16/07/2014,1330800,Fabricação de tecidos de malha,2062,Sociedade Empresária Limitada ,RUA,,GUABIRUBA SUL,1065,GALPAO01,R GUABIRUBA SUL 1065 GALPAO01,GUABIRUBA SUL,GUABIRUBA,SC,88360000,47,992503309,47,33540040,ATIVA,1,MÉDIA,56700000,2,399
COOPERATIVA ARROZEIRA EXTREMO SUL LTDA, 92.195.692/0001-99,,30/08/1966,1061901,Beneficiamento de arroz,2143,Cooperativa ,PRACA,,VINTE DE SETEMBRO,747,,PC VINTE DE SETEMBRO 747,CENTRO,PELOTAS,RS,96015360,53,999611024,53,999621486,ATIVA,1,GRANDE,12125000,4,277
BERMAS MARACANAU INDUSTRIA E COMERCIO DE COURO LTDA, 08.386.287/0001-41,,19/10/2006,1510600,Curtimento e outras preparações de couro,2062,Sociedade Empresária Limitada ,AVENIDA,SENADOR,VIRGILIO TAVORA,,DISTRITO INDUSTRIAL,AV SEN VIRGILIO TAVORA SN DISTRITO INDUSTRIAL,DISTRITO INDUSTRIAL I,MARACANAU,CE,61939160,85,30665236,85,40093700,ATIVA,1,GRANDE,172000000,3,664
MOINHO ARAPONGAS S/A, 76.125.244/0001-62,,02/09/1975,1094500,Fabricação de massas alimentícias,2054,Sociedade Anônima Fechada ,AVENIDA,,MARACANA,563,VL INDUST PR,AV MARACANA 563 VL INDUST PR,VILA INDUSTRIAL,ARAPONGAS,PR,86706000,43,991298924,43,988093918,ATIVA,1,GRANDE,236000000,4,1175
IPE EDUCACIONAL LTDA, 08.679.557/0001-02,IPE,22/03/1972,8532500,Educação superior - graduação e pós-graduação,2062,Sociedade Empresária Limitada ,RODOVIA,,BR-230,,KM 22 CAMPUS IPE AGUA,ROD BR DUZENTOS E TRINTA KM 22 CAMPUS IPE AGUA,AGUA FRIA,JOAO PESSOA,PB,58053002,83,981341158,83,981393476,ATIVA,1,GRANDE,236000000,4,1876
PERTECH DO BRASIL LTDA., 59.664.391/0001-91,,04/11/1988,2221800,Fabricação de laminados planos e tubulares de material plástico,2062,Sociedade Empresária Limitada ,AVENIDA,,PIRAPORINHA,852,PARTE,AV PIRAPORINHA 852 PARTE,JORDANOPOLIS,SAO BERNARDO DO CAMPO,SP,9891902,11,942450445,11,974756898,ATIVA,1,GRANDE,12125000,3,323
INONIBRAS INOCULANTES E FERRO LIGAS NIPO BRASILEIROS SA, 18.891.036/0001-78,,29/03/1977,2412100,Produção de ferroligas,2054,Sociedade Anônima Fechada ,AVENIDA,,KENZO MIYAWAKI,820,,AV KENZO MIYAWAKI 820,DT INDUSTRIAL,PIRAPORA,MG,39270000,38,991505848,38,991510178,ATIVA,1,GRANDE,90000000,4,152
CELPLAC INDUSTRIA E COMERCIO - EIRELI, 75.113.647/0001-29,,24/10/1980,1621800,Fabricação de madeira laminada e de chapas de madeira compensada| prensada e aglomerada,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RUA,,ANTONIO GAUDI,221,CDI CENTRO DESENV IND,R ANTONIO GAUDI 221 CDI CENTRO DESENV IND,SAO CRISTOVAO,GUARAPUAVA,PR,85063440,43,36241236,43,36243696,ATIVA,1,MÉDIA,8900000,1,266
FITESA NAOTECIDOS S/A, 93.211.084/0001-93,,28/12/1989,1354500,Fabricação de tecidos especiais| inclusive artefatos,2054,Sociedade Anônima Fechada ,RUA,,SIQUEIRA CAMPOS,1163,AND 7,R SIQUEIRA CAMPOS 1163 AND 7,CENTRO HISTORICO,PORTO ALEGRE,RS,90010001,51,34897034,51,21297100,ATIVA,1,GRANDE,640000000,6,
CASA & VIDEO RIO DE JANEIRO S.A., 11.114.284/0001-63,,03/09/2009,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,2054,Sociedade Anônima Fechada ,RUA,,RIACHUELO,243,AND 3 PART NESTLE B,R RIACHUELO 243 AND 3 PART NESTLE B,CENTRO,RIO DE JANEIRO,RJ,20230011,21,25051758,21,34499671,ATIVA,1,GRANDE,1500000000,9,1121
TELHAS SALINAS PRODUTOS CERAMICOS LTDA, 09.029.511/0001-00,CERAMICA TELHAS SALINAS,31/07/2007,2342702,Fabricação de artefatos de cerâmica e barro cozido para uso na construção| exceto azulejos e pisos,2062,Sociedade Empresária Limitada ,RODOVIA,,BR 251,,KM 4 ZONA RURALS N X,ROD BR 251 KM 4 ZONA RURALS N X,ZONA RURAL,SALINAS,MG,39560000,38,38413600,38,38413764,ATIVA,1,MICRO,220000,2,386
BRASWELL PAPEL E CELULOSE LTDA., 11.778.932/0001-86,,22/03/2010,1742799,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriorm,2062,Sociedade Empresária Limitada ,AVENIDA,,DR ROBERTO MOREIRA,2369,SITIO EMBIRICU,DR ROBERTO MOREIRA,RECANTO DOS PASSAROS,PAULINIA,SP,13140000,11,38954301,18,996571233,ATIVA,1,MÉDIA,236000000,4,557
AMT PRODUTOS ELETRICOS S.A., 09.622.942/0001-86,,06/06/2008,2710402,Fabricação de transformadores| indutores| conversores| sincronizadores e semelhantes| peças e acessó,2054,Sociedade Anônima Fechada ,AVENIDA,,AJAX RAMOS FURQUIN,1772,LOTE 01,AV AJAX RAMOS FURQUIN 1772 LOTE 01,DISTRITO IND CORONEL JOAO ALVES MOREIRA LARA,APARECIDA DO TABOADO,MS,79570000,67,35657442,67,32622344,ATIVA,1,MÉDIA,30000000,9,82
